[8/16/2025 4:13:38 AM] [INFO] received Windows console close event; shutting log-core down
[8/16/2025 4:15:59 AM] [INFO] received Windows console close event; shutting log-core down
[8/16/2025 4:17:39 AM] [INFO] received Windows console close event; shutting log-core down
[8/16/2025 2:26:42 PM] [INFO] received Windows console close event; shutting log-core down
[16/08/2025 23:20:37] [INFO] received Windows console close event; shutting log-core down
[16/08/2025 23:32:33] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 06:02:54] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 14:00:07] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 14:53:47] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 17:56:14] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 18:59:12] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:07:30] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:08:14] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:10:28] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:21:24] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:22:02] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:40:39] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:57:20] [INFO] received Windows console close event; shutting log-core down
[20/08/2025 19:59:07] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 4:39:26 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 5:08:58 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 5:22:35 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 5:22:36 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 5:22:37 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 5:46:41 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 6:03:09 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 6:07:09 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 6:11:09 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 6:19:47 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 6:22:07 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 6:54:19 AM] [INFO] received Windows console close event; shutting log-core down
[8/25/2025 6:58:25 AM] [INFO] received Windows console close event; shutting log-core down
